#SampleID	Dataset	FullName	Site	Condition
ZHC_BS_1	1	ZHC_BS	ZHC	ZHC_BS
ZHC_BS_2	2	ZHC_BS	ZHC	ZHC_BS
ZHC_BS_3	3	ZHC_BS	ZHC	ZHC_BS
ZHC_BS_4	4	ZHC_BS	ZHC	ZHC_BS
ZHC_BS_5	5	ZHC_BS	ZHC	ZHC_BS
ZHC_Sa_F_1	6	ZHC_Sa_F	ZHC	ZHC_Sa_F
ZHC_Sa_F_2	7	ZHC_Sa_F	ZHC	ZHC_Sa_F
ZHC_Sa_F_3	8	ZHC_Sa_F	ZHC	ZHC_Sa_F
ZHC_Sa_F_4	9	ZHC_Sa_F	ZHC	ZHC_Sa_F
ZHC_Sa_F_5	10	ZHC_Sa_F	ZHC	ZHC_Sa_F
ZHC_Sa_R_1	11	ZHC_Sa_R	ZHC	ZHC_Sa_R
ZHC_Sa_R_2	12	ZHC_Sa_R	ZHC	ZHC_Sa_R
ZHC_Sa_R_3	13	ZHC_Sa_R	ZHC	ZHC_Sa_R
ZHC_Sa_R_4	14	ZHC_Sa_R	ZHC	ZHC_Sa_R
ZHC_Sa_R_5	15	ZHC_Sa_R	ZHC	ZHC_Sa_R
ZHC_Sa_SR_1	16	ZHC_Sa_SR	ZHC	ZHC_Sa_SR
ZHC_Sa_SR_2	17	ZHC_Sa_SR	ZHC	ZHC_Sa_SR
ZHC_Sa_SR_3	18	ZHC_Sa_SR	ZHC	ZHC_Sa_SR
ZHC_Sa_SR_4	19	ZHC_Sa_SR	ZHC	ZHC_Sa_SR
ZHC_Sa_SR_5	20	ZHC_Sa_SR	ZHC	ZHC_Sa_SR
ZHC_Sp_F_1	21	ZHC_Sp_F	ZHC	ZHC_Sp_F
ZHC_Sp_F_2	22	ZHC_Sp_F	ZHC	ZHC_Sp_F
ZHC_Sp_F_3	23	ZHC_Sp_F	ZHC	ZHC_Sp_F
ZHC_Sp_F_4	24	ZHC_Sp_F	ZHC	ZHC_Sp_F
ZHC_Sp_F_5	25	ZHC_Sp_F	ZHC	ZHC_Sp_F
